rang_societe;identifiant_societe;denomination;domaines;categories;nb_etablissements;nb_villes;villes;departements;adresses;meilleure_priorite;score_max;score_moyen
91630;450786694;CLUB DES SENIORS DE LOUVRES;PRIVE;PRIV_LOISIRS;1;1;LOUVRES;95;MAIRIE 84 RUE DE PARIS 95380 LOUVRES;FROIDE;29;29.0
91631;477574396;LES CHEMINS DE LA MUSIQUE;PRIVE;PRIV_LOISIRS;1;1;VILLIERS-ADAM;95;16 RUE ARISTIDE BRIAND 95840 VILLIERS-ADAM;FROIDE;29;29.0
91632;479343683;PALLADIUM CLUB ASSOCIATION;PRIVE;PRIV_LOISIRS;1;1;MONTIGNY-LE-BRETONNEUX;78;6 ALLEE ANNA DE NOAILLES 78180 MONTIGNY-LE-BRETONNEUX;FROIDE;29;29.0
91633;501064620;FASHION FISHING;PRIVE;PRIV_LOISIRS;1;1;MAGNY-LES-HAMEAUX;78;LA CHAPELLE ROUTE DE MILON 78114 MAGNY-LES-HAMEAUX;FROIDE;29;29.0
91634;504956269;PTA FRANCE;PRIVE;PRIV_LOISIRS;1;1;LOGNES;77;2 ALLEE DES VOYAGEURS 77185 LOGNES;FROIDE;29;29.0
91635;517773503;TOUT EVENT (TOUT EVENT);PRIVE;PRIV_LOISIRS;1;1;EVRY-COURCOURONNES;91;2EME ETAGE APPT 126 5 RUE DU BEL AIR 91000 EVRY-COURCOURONNES;FROIDE;29;29.0
91636;522809136;P.S.C;PRIVE;PRIV_LOISIRS;1;1;VEMARS;95;RUE DU VERT BUISSON 95470 VEMARS;FROIDE;29;29.0
91637;524070562;SBK LASER;PRIVE;PRIV_LOISIRS;1;1;EVRY-COURCOURONNES;91;8 RUE DE LA MARE NEUVE 91000 EVRY-COURCOURONNES;FROIDE;29;29.0
91638;529377517;BIEN ETRE ET COMPAGNIE;PRIVE;PRIV_LOISIRS;1;1;LINAS;91;4 RUE DU PUITS 91310 LINAS;FROIDE;29;29.0
91639;529478547;LE SAPHIR;PRIVE;PRIV_LOISIRS;1;1;FONTENAY-EN-PARISIS;95;ROUTE DE GOUSSAINVILLE 95190 FONTENAY-EN-PARISIS;FROIDE;29;29.0
91640;529929408;POOL EVENTSPRODUCTIONS;PRIVE;PRIV_LOISIRS;1;1;CERGY;95;CENTRE COMMERCIAL CTRE COMMERC 3 FONTAINES 95000 CERGY;FROIDE;29;29.0
91641;751627704;PROMO KART INTERNATIONAL (PARIS KART INDOOR);PRIVE;PRIV_LOISIRS;1;1;MONTLHERY;91;27 B RUE DE NOZAY 91310 MONTLHERY;FROIDE;29;29.0
91642;785204892;CULTURE ET JEUNESSE (ACJ);PRIVE;PRIV_LOISIRS;1;1;JUVISY-SUR-ORGE;91;MAISON DUCASTEL 1 RUE DE L'OBSERVATOIRE 91260 JUVISY-SUR-ORGE;FROIDE;29;29.0
91643;788538585;CAPS AMICALE;PRIVE;PRIV_LOISIRS;1;1;ORSAY;91;PARC D ORSAY UNIVERSITE 26 RUE JEAN ROSTAND 91400 ORSAY;FROIDE;29;29.0
91644;798459343;ASSOCIATION DES PARENTS D AIGREMONT POUR UNE SOLUTION DE GARDE (APASG);PRIVE;PRIV_LOISIRS;1;1;AIGREMONT;78;7 ALLEE DES COTTAGES 78240 AIGREMONT;FROIDE;29;29.0
91645;800319238;RUHLAND;PRIVE;PRIV_LOISIRS;1;1;MARCOUSSIS;91;3 ALLEE AYMAR DE LA BAUME PLUVINEL 91460 MARCOUSSIS;FROIDE;29;29.0
91646;800972226;ENCRES ET LUMIERES DE CHINE;PRIVE;PRIV_LOISIRS;1;1;MONTGERON;91;81 RUE ARISTIDE BRIAND 91230 MONTGERON;FROIDE;29;29.0
91647;803348499;UNE BELLE CEREMONIE;PRIVE;PRIV_LOISIRS;1;1;VERNEUIL-SUR-SEINE;78;19 RUE DE L'ETANG 78480 VERNEUIL-SUR-SEINE;FROIDE;29;29.0
91648;805008216;BLACKSTONE (BLACKSTONE EVENEMENTS);PRIVE;PRIV_LOISIRS;1;1;CERGY;95;IMMEUBLE ORDINAL RUE DES CHAUFFOURS 95000 CERGY;FROIDE;29;29.0
91649;810497610;PACKAGE EVENTS;PRIVE;PRIV_LOISIRS;1;1;LONGPONT-SUR-ORGE;91;24 RUE DE BRETIGNY 91310 LONGPONT-SUR-ORGE;FROIDE;29;29.0
91650;811818020;L'EMERAUDE EVENEMENT;PRIVE;PRIV_LOISIRS;1;1;FLEURY-MEROGIS;91;9 RUE AMBROISE CROIZAT 91700 FLEURY-MEROGIS;FROIDE;29;29.0
91651;813095114;L'OPERATORIUM (L'OPERATORIUM);PRIVE;PRIV_LOISIRS;1;1;SAINT-OUEN-L'AUMONE;95;135 RUE DU HAMEAU 95310 SAINT-OUEN-L'AUMONE;FROIDE;29;29.0
91652;813906807;COEZION;PRIVE;PRIV_LOISIRS;1;1;TIGERY;91;APPARTEMENT D103 8 RUE DE LA BERGERIE 91250 TIGERY;FROIDE;29;29.0
91653;814787701;SONODJANIMATION;PRIVE;PRIV_LOISIRS;1;1;MITRY-MORY;77;32 AVENUE LAMARTINE 77290 MITRY-MORY;FROIDE;29;29.0
91654;814808846;PATRICK'ANIM (PATRICK'ANIM);PRIVE;PRIV_LOISIRS;1;1;BRIIS-SOUS-FORGES;91;250 RUE SAINTE-CROIX 91640 BRIIS-SOUS-FORGES;FROIDE;29;29.0
91655;818792202;AMICALE CELTIQUE DE VIGNEUX SUR SEINE;PRIVE;PRIV_LOISIRS;1;1;VIGNEUX-SUR-SEINE;91;7 PLACE LEPETIT ET VERGEAT 91270 VIGNEUX-SUR-SEINE;FROIDE;29;29.0
91656;819005224;ICRA INSTRUIRE CULTIVER RASSEMBLER AGIR (ICRA);PRIVE;PRIV_LOISIRS;1;1;MONTGERON;91;6 ALLEE GASTON BONNIER 91230 MONTGERON;FROIDE;29;29.0
91657;819631193;SI FA SI LA CHANTER;PRIVE;PRIV_LOISIRS;1;1;SAINTE-GENEVIEVE-DES-BOIS;91;257 ROUTE DE CORBEIL 91700 SAINTE-GENEVIEVE-DES-BOIS;FROIDE;29;29.0
91658;819689878;GRAHAM EVENT (GRAHAM EVENT);PRIVE;PRIV_LOISIRS;1;1;L'ISLE-ADAM;95;11 T RUE BERGERET 95290 L'ISLE-ADAM;FROIDE;29;29.0
91659;821519162;I'M EVENT (I'M COMM');PRIVE;PRIV_LOISIRS;1;1;SAINT-MICHEL-SUR-ORGE;91;11 RUE LOUIS LUMIERE 91240 SAINT-MICHEL-SUR-ORGE;FROIDE;29;29.0
91660;822431144;RESET XP (RESET XP);PRIVE;PRIV_LOISIRS;1;1;MONTIGNY-LE-BRETONNEUX;78;CHEZ PROMOPOLE 12 AVENUE DES PRES 78180 MONTIGNY-LE-BRETONNEUX;FROIDE;29;29.0
91661;825254808;EAVEN PROD (EAVEN PROD);PRIVE;PRIV_LOISIRS;1;1;EPINAY-SUR-ORGE;91;14 RUE DE LA MONTAGNE 91360 EPINAY-SUR-ORGE;FROIDE;29;29.0
91662;827717414;LITTLE BIG ESCAPE (LITTLE BIG ESCAPE) (LBE);PRIVE;PRIV_LOISIRS;1;1;BRIE-COMTE-ROBERT;77;6 ALLEE DENIS PAPIN 77170 BRIE-COMTE-ROBERT;FROIDE;29;29.0
91663;829766146;DIET AND SPORT COACHING SAS (DIET AND SPORT COACHING SAS);PRIVE;PRIV_LOISIRS;1;1;LES ULIS;91;124 AVENUE DES CHAMPS LASNIERS 91940 LES ULIS;FROIDE;29;29.0
91664;831066998;DYNAFORM;PRIVE;PRIV_LOISIRS;1;1;BRUNOY;91;20 AVENUE DE SOULINS 91800 BRUNOY;FROIDE;29;29.0
91665;835155417;LM CORPORATION (TEAM 4 X 4);PRIVE;PRIV_LOISIRS;1;1;MARCOUSSIS;91;7 RUE DU FOND DES PRES 91460 MARCOUSSIS;FROIDE;29;29.0
91666;844725515;LES CHASSEURS URBAINS;PRIVE;PRIV_LOISIRS;1;1;BALLAINVILLIERS;91;4 CHEMIN DES MARAIS 91160 BALLAINVILLIERS;FROIDE;29;29.0
91667;877613620;ADELI;PRIVE;PRIV_LOISIRS;1;1;AUVERS-SUR-OISE;95;6 T RUE LOUIS GANNE 95430 AUVERS-SUR-OISE;FROIDE;29;29.0
91668;889187886;CHOCOLAT MUSICAL;PRIVE;PRIV_LOISIRS;1;1;DRAVEIL;91;6 ALLEE DES 4 VENTS 91210 DRAVEIL;FROIDE;29;29.0
91669;891895492;CAMELEON EVENT;PRIVE;PRIV_LOISIRS;1;1;VILLEPREUX;78;4 CHEMIN DU HAMEAU DU BOIS HERVE 78450 VILLEPREUX;FROIDE;29;29.0
91670;894081819;EVENTS TRAVELS;PRIVE;PRIV_LOISIRS;1;1;BUSSY-SAINT-GEORGES;77;1 AVENUE JACQUES CARTIER 77600 BUSSY-SAINT-GEORGES;FROIDE;29;29.0
91671;894985662;VIE AUTREMENT (VIE AUTREMENT);PRIVE;PRIV_LOISIRS;1;1;EVRY-COURCOURONNES;91;5 BD DE L EUROPE -V G D ESTAING 91000 EVRY-COURCOURONNES;FROIDE;29;29.0
91672;898797451;JOUGIBAT GAMES;PRIVE;PRIV_LOISIRS;1;1;DRAVEIL;91;11 PLACE DE LA REPUBLIQUE 91210 DRAVEIL;FROIDE;29;29.0
91673;901545467;LE COMPTOIR CREATIF;PRIVE;PRIV_LOISIRS;1;1;MORSANG-SUR-ORGE;91;4 RUE ANDRE MALRAUX 91390 MORSANG-SUR-ORGE;FROIDE;29;29.0
91674;905186490;PLAY2FUN;PRIVE;PRIV_LOISIRS;1;1;OSNY;95;9 RUE DES BLEUETS 95520 OSNY;FROIDE;29;29.0
91675;912986528;ASSOCIATION LA CHANDELLE VERTE (ALCV);PRIVE;PRIV_LOISIRS;1;1;LAGNY-SUR-MARNE;77;30 RUE VICTOR HUGO 77400 LAGNY-SUR-MARNE;FROIDE;29;29.0
91676;912998986;AU JARDIN DES NYMPHEAS;PRIVE;PRIV_LOISIRS;1;1;FERRIERES-EN-BRIE;77;17 ALLEE DE LA JOCONDE 77164 FERRIERES-EN-BRIE;FROIDE;29;29.0
91677;947787149;M'BARK ABRIHMATE;PRIVE;PRIV_LOISIRS;1;1;CARRIERES-SOUS-POISSY;78;15 ALLEE DES HIRONDELLES 78955 CARRIERES-SOUS-POISSY;FROIDE;29;29.0
91678;951666874;CHARMED PARIS;PRIVE;PRIV_LOISIRS;1;1;TRAPPES;78;31 RUE GERARD PHILIPE 78190 TRAPPES;FROIDE;29;29.0
91679;350378642;ABITHEA DEVELOPPEMENT (ABITHEA FRANCE) (IMB);PRIVE;IMMO_AGENCE;4;4;MARSEILLE, LAGNY-SUR-MARNE, PUISEUX-PONTOISE, BAILLET-EN-FRANCE;13, 77, 95;6 BOULEVARD EDOUARD HERRIOT 13008 MARSEILLE, 28 RUE GAMBETTA 77400 LAGNY-SUR-MARNE, 2 RUE DE PONTOISE 95650 PUISEUX-PONTOISE, 1-3 1 AVENUE DU BOSQUET 95560 BAILLET-EN-FRANCE;FROIDE;27;24.0
91680;413848078;LE BISTROT;PRIVE;PRIV_RESTAURANT;3;3;CHAMBLY, ISLE ADAM, L'ISLE-ADAM;60, 95;ZAE N 3 27 RUE JULES RAIMU 60230 CHAMBLY, RESTAURANT DE LA PLACE PL LE FEU SAINT JEAN 95290 ISLE ADAM, 23 QUAI DE L'OISE 95290 L'ISLE-ADAM;FROIDE;27;20.7
91681;504246364;KVIN IMMOBILIER (L'AGENCE DU VILLAGE);PRIVE;IMMO_AGENCE;3;3;MAUREPAS, ELANCOURT, LES CLAYES-SOUS-BOIS;78;1 RUE DU PETIT PONT 78310 MAUREPAS, 15 ROUTE DE TRAPPES 78990 ELANCOURT, 19 AVENUE JULES FERRY 78340 LES CLAYES-SOUS-BOIS;FROIDE;27;24.7
91682;918562877;DK DREUX;PRIVE;PRIV_BUREAU;3;3;DREUX, TRAPPES, MONTIGNY-LE-BRETONNEUX;28, 78;35 RUE SAINT THIBAULT 28100 DREUX, 36 AVENUE PAUL VAILLANT-COUTURIER 78190 TRAPPES, 1 PLACE CHARLES DE GAULLE 78180 MONTIGNY-LE-BRETONNEUX;FROIDE;27;23.0
91683;321254104;KOSETI;PRIVE;PRIV_COMMERCE;2;2;LAGNY-SUR-MARNE, FOSSES;77, 95;C C DES HAUTS DE LAGNY AVENUE ANDRE MALRAUX 77400 LAGNY-SUR-MARNE, 6 PLACE DU 19 MARS 1962 95470 FOSSES;FROIDE;27;27.0
91684;329780589;SOCIETE VALVERDE;PRIVE;PRIV_COMMERCE;2;2;BRIE COMTE ROBERT, PONTAULT COMBAULT;77;ZI DE LA HAIE PASSART 77170 BRIE COMTE ROBERT, ZAC DU PETIT NOYER 9016 RUE DE MONTHETY 77340 PONTAULT COMBAULT;FROIDE;27;27.0
91685;331398701;ETUDE DE LA POSTE;PRIVE;IMMO_AGENCE;2;2;YERRES, BRUNOY;91;75 RUE CHARLES DE GAULLE 91330 YERRES, 2 GRANDE RUE 91800 BRUNOY;FROIDE;27;27.0
91686;353956980;SOCIETE IMMOBILIERE DE LA BASILIQUE DITE SIB;PRIVE;IMMO_AGENCE;2;2;LONGPONT-SUR-ORGE, LA VILLE-DU-BOIS;91;7 VOIE DU MORT RU 91310 LONGPONT-SUR-ORGE, 16 RUE DU GRAND NOYER 91620 LA VILLE-DU-BOIS;FROIDE;27;27.0
91687;380918821;AGENCE DE LA GARE (AGENCE DE LA GARE);PRIVE;IMMO_AGENCE;2;2;LOUVRES, FOSSES;95;CENTRE COMMERCIAL 3 AVENUE CHARLES DE GAULLE 95380 LOUVRES, 58 AVENUE HENRI BARBUSSE 95470 FOSSES;FROIDE;27;27.0
91688;413443821;ALPARCS;PRIVE;PRIV_LOISIRS;2;2;GEMENOS, BUCHELAY;13, 78;485 CHEMIN DE ROUTELLE 13420 GEMENOS, CENTRE COMMERCIAL AUCHAN PORTE DE NORMANDIE 78200 BUCHELAY;FROIDE;27;24.5
91689;421744053;CLAIRE LAURENT;PRIVE;PRIV_LOISIRS;2;1;BONNELLES;78;CENTRE EQUESTRE ROUTE DE BULLION 78830 BONNELLES, ROUTE DE BULLION 78830 BONNELLES;FROIDE;27;27.0
91690;439771585;VIRY PLEIN COEUR;PRIVE;IMMO_AGENCE;2;1;VIRY-CHATILLON;91;74 RUE FRANCOEUR 91170 VIRY-CHATILLON, 6 RUE ALEXANDRE DUMAS 91170 VIRY-CHATILLON;FROIDE;27;27.0
91691;450726575;HAMILTON RESTAURATION (LA TAVOLA);PRIVE;PRIV_RESTAURANT;2;2;MONTEVRAIN, VAIRES-SUR-MARNE;77;37 RTE ROUTE NATIONALE 34 77144 MONTEVRAIN, 52 AVENUE DES FUSILLES 77360 VAIRES-SUR-MARNE;FROIDE;27;26.0
91692;488136953;BRIE IMMO CONSEILS;PRIVE;IMMO_AGENCE;2;2;BRIE-COMTE-ROBERT, GUIGNES;77;104 RUE DU GENERAL LECLERC 77170 BRIE-COMTE-ROBERT, 54 RUE DE TROYES 77390 GUIGNES;FROIDE;27;26.0
91693;494463862;A G S;PRIVE;PRIV_BUREAU;2;2;VILLEMOISSON-SUR-ORGE, CHAMPCUEIL;91;32 AVENUE D'ORGEVAL 91360 VILLEMOISSON-SUR-ORGE, 16 RUE DU VIVIER 91750 CHAMPCUEIL;FROIDE;27;23.5
91694;498093723;PYRAMIDE;PRIVE;IMMO_AGENCE;2;2;CONFLANS-SAINTE-HONORINE, CERGY;78, 95;3 T AVENUE CARNOT 78700 CONFLANS-SAINTE-HONORINE, 94 RUE NATIONALE 95000 CERGY;FROIDE;27;27.0
91695;498505007;CONTACT-IMMO;PRIVE;IMMO_AGENCE;2;2;YERRES, CROSNE;91;64 RUE DE CONCY 91330 YERRES, 12 AV SALVADOR ALLENDE 91560 CROSNE;FROIDE;27;27.0
91696;504415704;EPERTAME IMMOBILIER;PRIVE;IMMO_AGENCE;2;2;PLAISIR, ELANCOURT;78;17 RUE PIERRE CURIE 78370 PLAISIR, 13 RUE D'ATHENES 78990 ELANCOURT;FROIDE;27;27.0
91697;507511897;CS+;PRIVE;PRIV_LOISIRS;2;2;GUIGNEVILLE-SUR-ESSONNE, GUIBEVILLE;91;FERME DE VAUGRIGNEUSE 91590 GUIGNEVILLE-SUR-ESSONNE, 7 RUE DENIS PAPIN 91630 GUIBEVILLE;FROIDE;27;27.0
91698;532422771;CONSEIL TRANSACTION IMMOBILIER (CTI);PRIVE;IMMO_AGENCE;2;2;SAINT-OUEN-L'AUMONE, AUVERS-SUR-OISE;95;31 RUE DU GENERAL LECLERC 95310 SAINT-OUEN-L'AUMONE, 44 RUE DU GENERAL DE GAULLE 95430 AUVERS-SUR-OISE;FROIDE;27;27.0
91699;539274555;COUBERT IMMO CONSEILS (COUBERT IMMO CONSEILS);PRIVE;IMMO_AGENCE;2;2;COUBERT, OZOIR-LA-FERRIERE;77;RESIDENCE DU CYGNE 2 ALLEE DU CYGNE 77170 COUBERT, 71 AVENUE DU GENERAL DE GAULLE 77330 OZOIR-LA-FERRIERE;FROIDE;27;26.0
91700;552134975;ALYZIA HOLDING;PRIVE;PRIV_BUREAU;2;2;RAMONVILLE-SAINT-AGNE, TREMBLAY-EN-FRANCE;31, 93;106 AVENUE TOLOSANE 31520 RAMONVILLE-SAINT-AGNE, ROISSY POLE - BAT NEPTUNE 4 PLACE DE BERLIN 93290 TREMBLAY-EN-FRANCE;FROIDE;27;21.0
91701;800003527;UNBIENPOURTOUS.COM;PRIVE;IMMO_AGENCE;2;1;VIRY-CHATILLON;91;31 AVENUE DES FOUGERES 91170 VIRY-CHATILLON, 16 RUE DANIELLE CASANOVA 91170 VIRY-CHATILLON;FROIDE;27;27.0
91702;808632541;ARGUI (IMAGINE IMMOBILIER);PRIVE;IMMO_AGENCE;2;2;COLLEGIEN, FERRIERES-EN-BRIE;77;10 PLACE MIREILLE MORVAN 77090 COLLEGIEN, 26 T RUE JEAN JAURES 77164 FERRIERES-EN-BRIE;FROIDE;27;27.0
91703;813011327;IMMOBILIERE DE LOGNES;PRIVE;IMMO_AGENCE;2;2;LOGNES, BUSSY-SAINT-GEORGES;77;3 ESPLANADE DES DROITS DE L’HOMME 77185 LOGNES, 12 AVENUE DU GENERAL DE GAULLE 77600 BUSSY-SAINT-GEORGES;FROIDE;27;23.5
91704;817963010;JENNIFER OUENSOU;PRIVE;PRIV_BUREAU;2;2;VIGNEUX-SUR-SEINE, CORBEIL-ESSONNES;91;PORTE 57 - 1 ETAGE 5 RUE DES AMARYLLIS 91270 VIGNEUX-SUR-SEINE, 12 RUE DU CHARBON BLANC 91100 CORBEIL-ESSONNES;FROIDE;27;23.5
91705;822110375;HORIZON SERVICE;PRIVE;IMMO_AGENCE;2;2;VOISINS-LE-BRETONNEUX, CHAUMONTEL;78, 95;21 RUE JACQUES CARTIER 78960 VOISINS-LE-BRETONNEUX, 1 RUE DE PARIS 95270 CHAUMONTEL;FROIDE;27;27.0
91706;828118059;BLB IMMOBILIER (BLB IMMOBILIER);PRIVE;IMMO_AGENCE;2;2;RAMBOUILLET, MAUREPAS;78;RESIDENCE SAINT JAMES 52 RUE D'ANGIVILLER 78120 RAMBOUILLET, 2   SQ    BOISCHAUT 5 ALLEE DU BOURBONNAIS 78310 MAUREPAS;FROIDE;27;23.5
91707;832350912;AURELIE LOBBE IMMOBILIER (AURELIE LOBBE IMMOBILIER);PRIVE;IMMO_AGENCE;2;1;CLAYE-SOUILLY;77;8 B RUE DE CHARNY 77410 CLAYE-SOUILLY, 23-25 23 RUE JEAN JAURES 77410 CLAYE-SOUILLY;FROIDE;27;27.0
91708;837986728;CAMPUS&CO. FRANCE;PRIVE;PRIV_COMMERCE;2;2;LE CHAMBON-SUR-LIGNON, CHELLES;43, 77;ZA LES LEBREYRES 43400 LE CHAMBON-SUR-LIGNON, 39 RUE HENRI BECQUEREL 77500 CHELLES;FROIDE;27;21.0
91709;842096786;FABIENNE GIL;PRIVE;PRIV_BUREAU;2;2;HERBLAY-SUR-SEINE, AUVERS-SUR-OISE;95;63 CHEMIN DE PONTOISE 95220 HERBLAY-SUR-SEINE, 24 T RUE DES AUNAIES 95430 AUVERS-SUR-OISE;FROIDE;27;27.0
91710;850738857;D.R. GRACIANO;PRIVE;PRIV_RESTAURANT;2;2;VAUJOURS, VILLEPARISIS;93, 77;9 RUE GIFFARD 93410 VAUJOURS, 5 AVENUE JEAN MONNET 77270 VILLEPARISIS;FROIDE;27;27.0
91711;853540912;LOAD ESCAPE SAS;PRIVE;PRIV_LOISIRS;2;2;CESSON, SAVIGNY-LE-TEMPLE;77;9 RUE DE JOSSIGNY 77240 CESSON, 20 IMPASSE DE L’OREE DU BOIS 77176 SAVIGNY-LE-TEMPLE;FROIDE;27;27.0
91712;882052707;EURL PSN;PRIVE;PRIV_RESTAURANT;2;2;DAMMARTIN-EN-GOELE, SAINT-THIBAULT-DES-VIGNES;77;3 ALLEE DE LA HERSE D'OR 77230 DAMMARTIN-EN-GOELE, AVENUE DU GENERAL LECLERC 77400 SAINT-THIBAULT-DES-VIGNES;FROIDE;27;23.5
91713;889633947;DEF IMMO;PRIVE;IMMO_AGENCE;2;2;SAVIGNY-SUR-ORGE, MORSANG-SUR-ORGE;91;95-97 95 BOULEVARD ARISTIDE BRIAND 91600 SAVIGNY-SUR-ORGE, 33 ROUTE DE CORBEIL 91390 MORSANG-SUR-ORGE;FROIDE;27;27.0
91714;889646964;SEVIM DEMIR (YILMAZ);PRIVE;IMMO_AGENCE, PRIV_COMMERCE;2;1;VAUX-SUR-SEINE;78;130 AVENUE DE PARIS 78740 VAUX-SUR-SEINE, 216 RUE DU GENERAL DE GAULLE 78740 VAUX-SUR-SEINE;FROIDE;27;24.5
91715;904528510;3.14 GROUPE (IMMO3-14);PRIVE;IMMO_AGENCE;2;2;CHASSIEU, JUVISY-SUR-ORGE;69, 91;23 T RUE PASTEUR 69680 CHASSIEU, 3 AVENUE CONDORCET 91260 JUVISY-SUR-ORGE;FROIDE;27;21.0
91716;951057298;VMS RESTAURATION;PRIVE;PRIV_RESTAURANT;2;1;LESIGNY;77;RUE DU PETIT PARC RUE DE LA FONTAINE 77150 LESIGNY, CENTRE COMMERCIAL DE LA FONTAINE RUE DU PETIT PARC 77150 LESIGNY;FROIDE;27;27.0
91717;951165851;AGENCE DE RIS AF;PRIVE;IMMO_AGENCE;2;2;RIS-ORANGIS, CORBEIL-ESSONNES;91;59 RUE ALBERT REMY 91130 RIS-ORANGIS, 1 RUE SAINT SPIRE 91100 CORBEIL-ESSONNES;FROIDE;27;23.5
91718;952117844;AUDICER SAP SERVICE A LA PERSONNE;PRIVE;PRIV_BUREAU;2;2;BELZ, EVRY-COURCOURONNES;56, 91;93 ROUTE DE PONT LOROIS 56550 BELZ, 41 RUE MICHEL ANGE 91000 EVRY-COURCOURONNES;FROIDE;27;21.0
91719;988184644;IMO;PRIVE;PRIV_BUREAU;2;2;MELUN, RIS-ORANGIS;77, 91;1 PLACE PRASLIN 77000 MELUN, 87 ROUTE DE GRIGNY 91130 RIS-ORANGIS;FROIDE;27;23.5
91720;100026699;KERANE LARCHER;PRIVE;PRIV_BUREAU;1;1;NOISY-LE-GRAND;93;BOULEVARD DES ASTRONAUTES 93160 NOISY-LE-GRAND;FROIDE;27;27.0
91721;100030394;SABRINA BEN AYAD (CHERKAOUI);PRIVE;PRIV_BUREAU;1;1;VILLIERS-SUR-ORGE;91;3 ROUTE DE CHASSE 91700 VILLIERS-SUR-ORGE;FROIDE;27;27.0
91722;100081181;MARIE PHILIPPEAU;PRIVE;PRIV_BUREAU;1;1;ELANCOURT;78;4 ALLEE EMILE ZOLA 78990 ELANCOURT;FROIDE;27;27.0
91723;100112945;MARIE-CLAUDE DO ROSARIO;PRIVE;PRIV_BUREAU;1;1;PONTAULT-COMBAULT;77;33 AVENUE CHARLES BALEZEAUX 77340 PONTAULT-COMBAULT;FROIDE;27;27.0
91724;100125749;GOLDADVICE;PRIVE;PRIV_BUREAU;1;1;YERRES;91;20 RUE DES FAISANS 91330 YERRES;FROIDE;27;27.0
91725;100135508;GWENAELLE MORGADO;PRIVE;PRIV_BUREAU;1;1;VIRY-CHATILLON;91;59 B AVENUE DU COMMANDANT BARRE 91170 VIRY-CHATILLON;FROIDE;27;27.0
91726;100161736;NML INVEST;PRIVE;PRIV_BUREAU;1;1;L'ISLE-ADAM;95;11 T RUE BERGERET 95290 L'ISLE-ADAM;FROIDE;27;27.0
91727;100162130;MOUHANED DAIF (MOUHANED DAIF);PRIVE;PRIV_BUREAU;1;1;CHAMPS-SUR-MARNE;77;APPARTEMENT 122 CHEZ LAMAMRA MOUSSA 15 AVENUE BLAISE PASCAL 77420 CHAMPS-SUR-MARNE;FROIDE;27;27.0
91728;100180157;MACIEIRA FILLE ET FILS;PRIVE;PRIV_BUREAU;1;1;VIGNEUX-SUR-SEINE;91;3 RUE EUGENE SUE 91270 VIGNEUX-SUR-SEINE;FROIDE;27;27.0
91729;100201276;MOZAIK OSIRIS;PRIVE;PRIV_BUREAU;1;1;MORSANG-SUR-ORGE;91;140 RUE DU PROGRES 91390 MORSANG-SUR-ORGE;FROIDE;27;27.0
91730;100243088;EVELYNE SADIN (MERRIEN) (EVELYNE CHARLES DE GAULLE);PRIVE;PRIV_BUREAU;1;1;LA VILLE-DU-BOIS;91;2 ALLEE DES GRAVIERS 91620 LA VILLE-DU-BOIS;FROIDE;27;27.0
91731;100312115;ULTEAM RH;PRIVE;PRIV_BUREAU;1;1;VERNOUILLET;78;29 B RUE PAUL DOUMER 78540 VERNOUILLET;FROIDE;27;27.0
91732;100448075;NAKFLO SERVICE;PRIVE;PRIV_BUREAU;1;1;RIS-ORANGIS;91;3 RUE JULES GUESDE 91130 RIS-ORANGIS;FROIDE;27;27.0
91733;100506450;FR INVEST;PRIVE;PRIV_BUREAU;1;1;DRAVEIL;91;20 AVENUE LOUISE MICHEL 91210 DRAVEIL;FROIDE;27;27.0
91734;100536887;ABIL HOLDING;PRIVE;PRIV_BUREAU;1;1;PONTAULT-COMBAULT;77;27 AVENUE CHARLES BALEZEAUX 77340 PONTAULT-COMBAULT;FROIDE;27;27.0
91735;100621895;NELSON SOLE;PRIVE;PRIV_BUREAU;1;1;VAIRES-SUR-MARNE;77;8 SQUARE PAUL ALGIS 77360 VAIRES-SUR-MARNE;FROIDE;27;27.0
91736;100639749;STEVEN SHENOUDA;PRIVE;PRIV_BUREAU;1;1;MONTGERON;91;6 ROUTE FORESTIERE DU CHATEAU 91230 MONTGERON;FROIDE;27;27.0
91737;100668441;LOUISE OSSETE (OCT PLANNER);PRIVE;PRIV_BUREAU;1;1;LES CLAYES-SOUS-BOIS;78;2 PLACE DU CHEMIN DE RONDE 78340 LES CLAYES-SOUS-BOIS;FROIDE;27;27.0
91738;100705029;LECTIMM;PRIVE;PRIV_BUREAU;1;1;VAUREAL;95;35 B RUE NATIONALE 95490 VAUREAL;FROIDE;27;27.0
91739;100806058;M.A.C HOLDING;PRIVE;PRIV_BUREAU;1;1;BOISEMONT;95;14 RUE DE LA GARENNE 95000 BOISEMONT;FROIDE;27;27.0
91740;100822147;CMD GESTION ADMINISTRATIVE (CMD);PRIVE;PRIV_BUREAU;1;1;BURES-SUR-YVETTE;91;27 RUE DU BOIS MICHEL PIERRE 91440 BURES-SUR-YVETTE;FROIDE;27;27.0
91741;100822832;REGATA GROUP;PRIVE;PRIV_BUREAU;1;1;CONFLANS-SAINTE-HONORINE;78;37 RUE DES CAYENNES 78700 CONFLANS-SAINTE-HONORINE;FROIDE;27;27.0
91742;100883610;MORLING;PRIVE;PRIV_BUREAU;1;1;MONTLHERY;91;BATIMENT B 12 ROUTE D'ORLEANS 91310 MONTLHERY;FROIDE;27;27.0
